Date,Close,Open,Volume,Num Arrests,Mean.TemperatureF,PrecipitationIn,Events,season,Year,Week,Month
2013-11-19,1787.869995,1790.790039,3224450000,1237,44.0,0.00,,Autumn,2013,47,11
2013-11-20,1781.369995,1789.589966,3109140000,1325,39.0,0.00,,Autumn,2013,47,11
2013-11-21,1795.8499760000002,1783.52002,3256630000,1317,42.0,0.00,,Autumn,2013,47,11
2013-11-22,1804.7600100000002,1797.209961,3055140000,1367,53.0,0.07,Rain,Autumn,2013,47,11
2013-11-25,1802.47998,1806.3299559999998,2998540000,786,30.0,0.00,,Autumn,2013,48,11
2013-11-26,1802.75,1802.869995,3427120000,1040,44.0,0.56,Rain,Autumn,2013,48,11
2013-11-27,1807.22998,1803.47998,2613590000,804,49.0,1.41,Rain,Autumn,2013,48,11
2013-11-29,1805.810059,1808.689941,1598300000,1009,36.0,0.00,,Autumn,2013,48,11
2013-12-02,1800.9000239999998,1806.550049,3095430000,805,45.0,0.00,,Autumn,2013,49,12
2013-12-03,1795.1500239999998,1800.0999760000002,3475680000,1204,46.0,0.00,,Autumn,2013,49,12
2013-12-04,1792.810059,1793.1500239999998,3610540000,1292,43.0,0.00,,Autumn,2013,49,12
2013-12-05,1785.030029,1792.819946,3336880000,1255,52.0,0.01,Fog-Rain,Autumn,2013,49,12
2013-12-06,1805.089966,1788.359985,3150030000,1104,47.0,0.57,Fog-Rain,Autumn,2013,49,12
2013-12-09,1808.369995,1806.209961,3129500000,812,37.0,0.25,Rain,Autumn,2013,50,12
2013-12-10,1802.619995,1807.5999760000002,3117150000,1036,34.0,0.28,Fog-Rain-Snow,Autumn,2013,50,12
2013-12-11,1782.219971,1802.7600100000002,3472240000,1298,30.0,0.00,,Autumn,2013,50,12
2013-12-12,1775.5,1781.709961,3306640000,1126,27.0,0.00,,Autumn,2013,50,12
2013-12-13,1775.319946,1777.97998,3061070000,1123,30.0,0.00,,Autumn,2013,50,12
2013-12-16,1786.540039,1777.47998,3209890000,711,30.0,0.00,,Autumn,2013,51,12
2013-12-17,1781.0,1786.469971,3270030000,880,30.0,0.13,Rain-Snow,Autumn,2013,51,12
2013-12-18,1810.6500239999998,1781.459961,4327770000,1306,32.0,0.00,,Autumn,2013,51,12
2013-12-19,1809.5999760000002,1809.0,3497210000,1107,37.0,0.00,,Autumn,2013,51,12
2013-12-20,1818.319946,1810.390015,5097700000,1104,44.0,0.00,,Autumn,2013,51,12
2013-12-23,1827.9899899999998,1822.9200440000002,2851540000,648,50.0,0.49,Fog-Rain,Winter,2013,52,12
2013-12-24,1833.319946,1828.02002,1307630000,441,35.0,T,,Winter,2013,52,12
2013-12-26,1842.02002,1834.959961,1982270000,1071,33.0,T,,Winter,2013,52,12
2013-12-27,1841.4000239999998,1842.969971,2052920000,1169,37.0,0.00,,Winter,2013,52,12
2013-12-30,1841.069946,1841.469971,2293860000,672,36.0,0.00,,Winter,2013,1,12
2013-12-31,1848.359985,1842.609985,2312840000,470,28.0,T,Snow,Winter,2013,1,12
2014-01-02,1831.97998,1845.859985,3080600000,1052,26.0,0.13,Snow,Winter,2014,1,1
2014-01-03,1831.369995,1833.209961,2774270000,654,14.0,0.22,Fog-Snow,Winter,2014,1,1
2014-01-06,1826.77002,1832.310059,3294850000,772,37.0,0.41,Fog-Rain-Snow,Winter,2014,2,1
2014-01-07,1837.880005,1828.709961,3511750000,1029,13.0,0.00,,Winter,2014,2,1
2014-01-08,1837.4899899999998,1837.9000239999998,3652140000,1298,17.0,0.00,,Winter,2014,2,1
2014-01-09,1838.130005,1839.0,3581150000,1349,28.0,0.00,,Winter,2014,2,1
2014-01-10,1842.369995,1840.060059,3335710000,1332,31.0,0.19,Rain-Snow,Winter,2014,2,1
2014-01-13,1819.199951,1841.2600100000002,3591350000,969,40.0,0.00,,Winter,2014,3,1
2014-01-14,1838.880005,1821.359985,3353270000,1251,46.0,0.55,Rain,Winter,2014,3,1
2014-01-15,1848.380005,1840.52002,3777800000,1491,38.0,T,Fog,Winter,2014,3,1
2014-01-16,1845.890015,1847.9899899999998,3491310000,1413,39.0,0.00,Fog,Winter,2014,3,1
2014-01-17,1838.699951,1844.22998,3626120000,1391,37.0,0.00,,Winter,2014,3,1
2014-01-21,1843.800049,1841.050049,3782470000,617,23.0,0.35,Snow,Winter,2014,4,1
2014-01-22,1844.859985,1844.709961,3374170000,925,13.0,0.01,Snow,Winter,2014,4,1
2014-01-23,1828.459961,1842.290039,3972250000,1241,15.0,0.00,,Winter,2014,4,1
2014-01-24,1790.290039,1826.959961,4618450000,1202,16.0,0.00,,Winter,2014,4,1
2014-01-27,1781.560059,1791.030029,4045200000,799,34.0,0.00,,Winter,2014,5,1
2014-01-28,1792.5,1783.0,3437830000,1078,18.0,T,Snow,Winter,2014,5,1
2014-01-29,1774.199951,1790.1500239999998,3964020000,1233,20.0,0.05,Snow,Winter,2014,5,1
2014-01-30,1794.189941,1777.1700440000002,3547510000,1137,21.0,0.00,,Winter,2014,5,1
2014-01-31,1782.589966,1790.880005,4059690000,1197,34.0,0.00,,Winter,2014,5,1
2014-02-03,1741.890015,1782.680054,4726040000,649,36.0,1.08,Fog-Rain-Snow,Winter,2014,6,2
2014-02-04,1755.199951,1743.819946,4068410000,1232,29.0,0.00,,Winter,2014,6,2
2014-02-05,1751.640015,1753.380005,3984290000,1075,33.0,1.20,Rain-Snow,Winter,2014,6,2
2014-02-06,1773.430054,1752.9899899999998,3825410000,1440,28.0,0.00,,Winter,2014,6,2
2014-02-07,1797.02002,1776.0100100000002,3775990000,1302,29.0,0.00,,Winter,2014,6,2
2014-02-10,1799.839966,1796.199951,3312160000,792,25.0,0.00,,Winter,2014,7,2
2014-02-11,1819.75,1800.449951,3699380000,1262,21.0,0.00,,Winter,2014,7,2
2014-02-12,1819.2600100000002,1820.119995,3326380000,1450,20.0,T,,Winter,2014,7,2
2014-02-13,1829.8299559999998,1814.819946,3289510000,606,31.0,1.27,Fog-Rain-Snow,Winter,2014,7,2
2014-02-14,1838.630005,1828.459961,3114750000,1061,37.0,0.13,Rain-Snow,Winter,2014,7,2
2014-02-18,1840.7600100000002,1839.030029,3421110000,1216,33.0,0.15,Snow,Winter,2014,8,2
2014-02-19,1828.75,1838.9000239999998,3661570000,1402,36.0,0.31,Fog-Rain,Winter,2014,8,2
2014-02-20,1839.780029,1829.2399899999998,3404980000,1468,39.0,0.02,Rain,Winter,2014,8,2
2014-02-21,1836.25,1841.069946,3403880000,1247,41.0,0.14,Fog-Rain,Winter,2014,8,2
2014-02-24,1847.609985,1836.780029,4014530000,932,37.0,0.02,Rain,Winter,2014,9,2
2014-02-25,1845.119995,1847.660034,3515560000,1307,31.0,0.00,,Winter,2014,9,2
2014-02-26,1845.160034,1845.790039,3716730000,1241,27.0,0.03,Snow,Winter,2014,9,2
2014-02-27,1854.290039,1844.9000239999998,3547460000,1144,25.0,T,Snow,Winter,2014,9,2
2014-02-28,1859.449951,1855.119995,3917450000,1199,19.0,0.00,,Winter,2014,9,2
2014-03-03,1845.72998,1857.680054,3428220000,821,27.0,0.04,Snow,Winter,2014,10,3
2014-03-04,1873.910034,1849.22998,3765770000,1291,21.0,0.00,,Winter,2014,10,3
2014-03-05,1873.810059,1874.050049,3392990000,1455,33.0,0.00,,Winter,2014,10,3
2014-03-06,1877.030029,1874.180054,3360450000,1517,24.0,0.00,,Winter,2014,10,3
