Year,Week,Close,Num Arrests,Mean.TemperatureF,Month
2009,2,913.7760008000001,1271.2,36.4,1.0
2009,3,855.7059935999999,1439.4,24.6,1.0
2009,4,826.22749325,1462.25,27.5,1.0
2009,5,845.4780152,1229.0,30.4,1.0
2009,6,842.1259888000001,1231.2,28.0,2.0
2009,7,838.5640014,1476.8,43.8,2.0
2009,8,781.6449889999999,1381.25,34.75,2.0
2009,9,753.85802,1393.6,35.2,2.0
2009,10,695.1900024,1252.4,28.0,3.0
2009,11,724.9559935999999,1404.0,41.0,3.0
2009,12,775.7879884,1319.4,42.8,3.0
2009,13,818.343994,1367.4,42.0,3.0
2009,14,814.6720091999999,1319.0,50.6,3.6
2009,15,833.18748475,1281.5,46.25,4.0
2009,16,857.4379884000002,1219.2,49.0,4.0
2009,17,848.8339966000001,1273.4,51.4,4.0
2009,18,867.3280032,1318.4,61.8,4.2
2009,19,913.4380004000001,1304.4,57.6,5.0
2009,20,895.4919922000001,1519.0,59.2,5.0
2009,21,899.328003,1311.8,60.4,5.0
2009,22,907.34001175,1311.0,60.0,5.0
2009,23,940.3840088000001,1189.8,62.6,6.0
2009,24,942.3640138000001,1302.8,66.8,6.0
2009,25,917.1999878,1281.4,64.0,6.0
2009,26,905.647998,1293.0,71.6,6.0
2009,27,916.5749967500001,1186.5,74.25,6.5
2009,28,884.2239992000001,1246.2,70.2,7.0
2009,29,924.1380005999999,1245.8,73.2,7.0
2009,30,963.0660034,1160.6,72.0,7.0
2009,31,982.2359983999999,1131.4,78.6,7.0
2009,32,1003.7119994000001,1276.2,76.0,8.0
2009,33,1004.8159914,1278.2,77.8,8.0
2009,34,999.871997,1217.2,81.2,8.0
2009,35,1028.3199950000003,1225.4,75.4,8.0
2009,36,1006.6099974000001,1243.6,68.4,8.8
2009,37,1036.40750125,1202.0,67.5,9.0
2009,38,1060.904004,1271.0,67.2,9.0
2009,39,1058.4700194,1235.0,68.8,9.0
2009,40,1047.1459716000002,1171.8,59.0,9.4
2009,41,1057.9459716000001,1359.4,62.4,10.0
2009,42,1085.1280030000003,1203.6,48.4,10.0
2009,43,1088.5760254000002,1279.8,55.8,10.0
2009,44,1055.0579831999999,1116.6,53.2,10.0
2009,45,1054.1440186,1144.2,48.6,11.0
2009,46,1093.0639892,1298.0,52.8,11.0
2009,47,1103.1400146,1376.4,52.0,11.0
2009,48,1103.50250225,1099.75,49.75,11.0
2009,49,1103.9260008,1273.6,48.6,11.8
2009,50,1099.9799804000002,1179.2,37.8,12.0
2009,51,1105.954004,1138.4,35.6,12.0
2009,52,1119.78500375,772.5,29.25,12.0
2009,53,1123.875,854.75,29.5,12.0
2010,1,1138.6639891999998,1304.6,29.4,1.0
2010,2,1142.6739989999999,1398.4,31.8,1.0
2010,3,1124.12750225,1682.5,38.5,1.0
2010,4,1088.9700194,1182.6,35.8,1.0
2010,5,1083.8179684000002,1350.2,32.2,2.0
2010,6,1069.8739991999998,1117.2,32.2,2.0
2010,7,1102.5750122499999,1353.75,34.25,2.0
2010,8,1103.0559814,1090.2,35.4,2.0
2010,9,1122.8959962000001,1507.8,41.4,3.0
2010,10,1144.9579832,1368.8,48.2,3.0
2010,11,1160.3819824000002,1328.8,51.0,3.0
2010,12,1168.004004,1288.6,49.4,3.0
2010,13,1173.50500525,1058.5,51.0,3.25
2010,14,1188.0279538,1355.8,61.4,4.0
2010,15,1201.6460204,1355.2,54.2,4.0
2010,16,1207.3160156,1450.0,56.8,4.0
2010,17,1196.1179930000003,1298.0,54.4,4.0
2010,18,1156.152002,1369.6,66.8,5.0
2010,19,1156.0620116000002,1378.8,53.4,5.0
2010,20,1106.4139891999998,1360.8,62.8,5.0
2010,21,1081.6200194,1326.4,68.2,5.0
2010,22,1084.19998175,1451.0,76.0,6.0
2010,23,1069.3199708,1323.2,66.0,6.0
2010,24,1110.6040037999999,1346.4,70.6,6.0
2010,25,1090.2,1253.2,81.6,6.0
2010,26,1039.2939818,1153.0,77.6,6.4
2010,27,1059.13501,1324.75,85.0,7.0
2010,28,1086.123999,1269.6,79.8,7.0
2010,29,1084.1300048,1219.2,81.6,7.0
2010,30,1107.6219972,1143.2,78.8,7.0
2010,31,1124.202002,1260.8,79.2,8.0
2010,32,1100.2360108,1262.4,78.6,8.0
2010,33,1082.6800048,1277.4,79.0,8.0
2010,34,1057.2739746,1187.4,69.8,8.0
2010,35,1074.630005,1205.4,81.4,8.6
2010,36,1101.110016,1357.25,72.75,9.0
2010,37,1123.6639891999998,1162.4,66.4,9.0
2010,38,1138.0540038,1190.6,69.4,9.0
2010,39,1144.4059812,1146.8,70.4,9.2
2010,40,1156.1920166,1366.2,60.6,10.0
2010,41,1172.6379884000003,1294.4,59.2,10.0
2010,42,1178.4239989999999,1337.0,54.4,10.0
2010,43,1184.15,1272.0,62.0,10.0
2010,44,1204.5639894,1183.0,46.4,11.0
2010,45,1213.6219970000002,1288.2,49.2,11.0
2010,46,1190.2199706,1308.8,52.2,11.0
2010,47,1191.5799865,1081.75,50.25,11.0
2010,48,1204.1239990000001,1138.2,43.8,11.6
2010,49,1229.7100096000001,1190.2,31.4,12.0
2010,50,1240.8119872,1090.8,28.0,12.0
2010,51,1254.3224795,1044.25,34.5,12.0
2010,52,1258.2700196,507.0,30.6,12.0
2011,1,1272.7959962,1287.0,31.8,1.0
2011,2,1281.4379882,1200.2,27.0,1.0
2011,3,1285.1375125,1380.75,33.25,1.0
